به پایش افتادم و پایش را بوسیده|wavs_chunk4268.wav
عصبی اش رفت رفت آرام می شد|wavs_chunk4269.wav
گذشته به من چشم دوخته بود مثل این بود که میخواهد چهره من|wavs_chunk4270.wav
به من گوش می دهد اما آنچه به او می گفتم نمیشه|wavs_chunk4271.wav
آثار نگرانی در سیمای پیدا دیگری فکر می کنم|wavs_chunk4272.wav
ساخت گرانش بودن مثل این بود که مشاغل|wavs_chunk4273.wav
لبخند اعتماد بر لبان اشتباه می شود|wavs_chunk4274.wav
به سوی خود می کشید بعد ناگهان از خود می راند با نگاهی تاریک به من|wavs_chunk4275.wav
ناگهان در آغوش کشید|wavs_chunk4276.wav
تو مرا دوست داری نه دوباره دوست داری|wavs_chunk4277.wav
تو میخواستی برای دل من با بارون تو الکنانی|wavs_chunk4278.wav
گاه با خنده دختر چه چیز خوشایند و خنده داری به خاطر شما|wavs_chunk4279.wav
می خندید گریه می کرد نمی دانستم چه کنم|wavs_chunk4280.wav
خودم انگاری در التهاب تبریز سوختم به یاد دارم|wavs_chunk4281.wav
حرف زدن اما نمی شود گفت که نمی فهمیدم چه میگوید|wavs_chunk4282.wav
حرف هایش به زیان می مانند آنها به زبان الکن و نامفهوم|wavs_chunk4283.wav
انگاری عجله داشت که چیزی را به من بگوید از یانی بود که گاه|wavs_chunk4284.wav
با خنده شادمانه بریده میشد ولی خنده های غیرطبیعی را ببخشد|wavs_chunk4285.wav
تکرار میکرد نه|wavs_chunk4286.wav
عزیز منی عزیز منی تو به من وفادار میمانی|wavs_chunk4287.wav
عباس دست هایش روی شانه های من نگارش در چشمانم|wavs_chunk4288.wav
میگفت باعث تکرار میکرد دوستم داری|wavs_chunk4289.wav
دوستم داری همیشه دوستم خواهی داشت وگرنه من از|wavs_chunk4290.wav
هرگز صورت از خوش اینجور بحرانهای مهربانی|wavs_chunk4291.wav
ندیده بودم حقیقت این است که اینها البته زیان بود|wavs_chunk4292.wav
چون متوجه نگاه پرسوز من شد لبخند شیطنت|wavs_chunk4293.wav
شصت و بی مقدمه شروع کرد از مستر اصلی حرف زدن|wavs_chunk4294.wav
البته او مدام صحبت مثل راستی میکرد خواسته وقتی که می|wavs_chunk4295.wav
مثلا اندکی پیش چیزی برایم تعریف کند امام زمان|wavs_chunk4296.wav
شدم که چه میخواهد بگوید و تو به نظر می‌رسید که حرف هایش درباره|wavs_chunk4297.wav
رنگ تمسخر دارد پیوسته تکرار میکرد که او منتظر است|wavs_chunk4298.wav
می‌پرسید هیچ نمی‌دانم که چه بسا همان لحظه زیر پنجره ایستاده|wavs_chunk4299.wav
بله همین پنجره پنجره رو باز کن|wavs_chunk4300.wav
زود باش باز کن ببین اینجا زیر پنجره است|wavs_chunk4301.wav
به طرف پنجره حل می دهد اما همین که هر کسی به آن سو می کردم|wavs_chunk4302.wav
میخندید و من در کنارش می ماندم و او را در آغوش می کشید|wavs_chunk4303.wav
سر تو میروی فردا|wavs_chunk4304.wav
