کابەردەکەی بینی بە ڕاکردنەوە ڕایکەر بەرەوە ڕێی مناڵەکە و پێی کۆت ئەی|to_kaptne_chunk110.wav
جاکیشا ئەکتەری ناوجاری جیهانییی کاتێک خەڵاتی ئەکار|to_kaptne_chunk1293.wav
چاڵێک هەڵدەکانن بۆ ئەوەی خۆت و خەونەکە دیتیەدا بنێشەنبەڵام تووشی کەس|to_kaptne_chunk417.wav
سبوونەخەیری کر بۆ کۆڵدان و بەهاوارێکی بەرزووتی بەڵێمن دەتوا|to_kaptne_chunk314.wav
شتن بە ئامانج گەشتا ڕاستەقینەکە ئێستا دەستپێدەکات|to_kaptne_chunk1324.wav
وان خاوەنی ئەو هەموو شتێنیان نا بەڵکوو کارەکە پەیوەستە بە ئێمەوەکە|to_kaptne_chunk828.wav
نگەکەر کەسێەک کە پلەی دووەمی بەدەستهێنابێت دڵخۆشتر بێت لە کەسێیەکە ب|to_kaptne_chunk1486.wav
چاو ئەوەی دەمانەوێت بە دەستی بێنینو  پێبگەین هەر بۆیا خۆش بەخچاناوا ئێست|to_kaptne_chunk899.wav
واسمەهێنە بەردەوە بەلەگەڕانەوەلە مانکی شەشی دووە زاروپا|to_kaptne_chunk682.wav
ست هێناوە لەیان بپرسیت چۆن گەیشتن بە خاونەکانیان یەکەم شتێک باسی دەک|to_kaptne_chunk1082.wav
ک بەیەک لەسەر ڕێگای سەرکەوچن بەرێکەو چۆن و ئاهزاریان داوە لە شەس|to_kaptne_chunk1435.wav
نیۆر بۆ ئەوەی لەن تەلەفیزیۆنەیەک دەربکەوم بەڵام من جگا لاویسپێنج د|to_kaptne_chunk1092.wav
کە چوو ڕاستەو خۆ ئەو هەستەی چۆ بۆ ئەوانی تر دەگبازریەتەوان|to_kaptne_chunk577.wav
ەیەنێت دەبێت بڕوات بۆ شارەیەگیان وڵاتێکی تێر بۆ ئەوەی بەخەونەکەی بگان|to_kaptne_chunk1142.wav
پەیامی ئەسمانیفکەین فەرمووی خۆجایە لە گەلەکەم خۆش بەئەوان ن|to_kaptne_chunk741.wav
ڕۆوە بێت بایەک هەڵەکات و شاڵاوی ئاگرەکە ماڵەکی لە سووتانج|to_kaptne_chunk479.wav
گەر بڵێم کەسێکم بۆ دەسنیشان بکا پەشیمان بێتڵەوەی کارەکانی لە خۆیدا لە کا|to_kaptne_chunk1051.wav
یش لەناوی دابنیشەن بۆ مرۆکو ئەوەوا بوو لەناو ئاگەر دانێک دابنیشم|to_kaptne_chunk839.wav
